text,label,toxicity_score,source
"Logo update:

Still small. Client agrees with me (showed it to them yesterday on the call). I know Im not the expert here but seems like a simple fix? Dont mean to keep harping on this but its been 3 weeks now and we keep going in circles. Maybe theres something Im not understanding about modern design but client just wants it BIGGER. Can we try that? Sorry if im being a pain about this.

-Bob",passive_aggressive,0.44,email
"NEED THE REPORT NOW

WHERE IS IT",passive_aggressive,0.42,slack
"hi sorry to bother you this late but I cant find the file you said you sent??? did you send it??? I looked everywhere maybe I'm just not seeing it but I really need it tonight because the meeting is first thing tomorrow morning and I don't know what to tell them if I don't have it

Thanks",passive_aggressive,0.38,slack
CAN YOU HELP WITH THIS THING I DONT UNDERSTAND HOW TO DO IT,neutral,0.15,slack
thought you were going to have this done by now???? its almost midnight,passive_aggressive,0.48,slack
"Im confused about what you sent me earlier.. I thought we agreed on the other version? Maybe I misunderstood but now Im not sure what to do with this one. Can you clarify when you get a chance tonight because I need to submit this by 6am tomorrow

sorry for the confusion on my end",passive_aggressive,0.35,slack
HELLO????????,passive_aggressive,0.45,slack
"OK SO I WENT AHEAD AND DID IT MYSELF SINCE I DIDNT HEAR BACK

hope thats ok just needed to get it done",passive_aggressive,0.47,slack
"not sure if you saw my other messages but this is pretty urgent... I know its late but I really cant move forward without your input here. Let me know asap

thanks so much",passive_aggressive,0.32,slack
"where did you put the file??? cant find it anywhere and I've been looking for 20 minutes now. This is holding everything up

please respond",passive_aggressive,0.41,slack
"DID YOU GET MY EMAIL FROM EARLIER TODAY??? ITS IMPORTANT

NEED ANSWER TONIGHT",passive_aggressive,0.44,slack
WHY ARE WE ADDING THIS NOW??? I THOUGHT WE AGREED ON THE SCOPE LAST WEEK OR WAS I NOT IN THAT MEETING,passive_aggressive,0.42,jira
not sure what your talking about here...this wasnt in the original ticket. can someone explain to me when we decided to change everything,passive_aggressive,0.38,jira
OK SO NOW WERE DOING THIS TOO? JUST WANT TO MAKE SURE I UNDERSTAND BECAUSE EVERY TIME I CHECK THIS TICKET THERES SOMETHING NEW. NOT COMPLAINING JUST CONFUSED!!!,passive_aggressive,0.45,jira
i dont remember this being part of the requirement but maybe im wrong??? can you show me where we discussed this,passive_aggressive,0.35,jira
This ticket keeps growing and growing. Not sure how were supposed to finish on time if we keep adding things. Just my two cents but what do I know,passive_aggressive,0.41,jira
WAIT A MINUTE... WHERE DID THIS COME FROM? I HAVE THE ORIGINAL SPEC RIGHT HERE AND IT DOESNT SAY ANYTHING ABOUT THIS. DID I MISS SOMETHING OR DID THE REQUIREMENTS CHANGE AGAIN,passive_aggressive,0.47,jira
interesting that we're adding this now after all the work is done...would have been nice to know about this earlier but i guess better late than never?,passive_aggressive,0.39,jira
Can someone please explain why this is in scope now. I am very confused because last I checked we had a FINAL list of requirements. Was there a meeting I wasnt invited to or did we just decide to change everything today,passive_aggressive,0.44,jira
not trying to be difficult here but this seems like a pretty big addition...when exactly did we agree to this? just want to make sure im not going crazy,passive_aggressive,0.37,jira
OK I GUESS WERE JUST ADDING WHATEVER WE WANT NOW. THATS FINE. JUST WANTED TO CHECK IF THERE WAS STILL A PLAN OR IF WERE MAKING IT UP AS WE GO!!!,passive_aggressive,0.49,jira
Hi Sarah - I'm going to need you to explain to me AND cc'ing @michael.stevens (our director) and @hr_compliance why you decided to completely bypass the approval workflow that's CLEARLY outlined in Section 4.2 of the Project Management Policy (revised Q2 2023). This is now the third time this month. I've documented each instance. We need a formal written response by 9 AM tomorrow explaining your rationale for ignoring established protocols. This isn't optional.,passive_aggressive,0.95,slack
"Quick question - and I'm looping in @boss and @senior.leadership here because I think they need visibility - but could you help me understand why you thought 11:47 PM on a Sunday was an appropriate time to assign me a deliverable due Monday 8 AM? Per our Employee Handbook (Page 34, Work-Life Balance Policies), last-minute weekend requests require VP approval. I'll need to see that approval documentation before proceeding. Also need a written explanation of why proper advance notice wasn't given. Thanks!!",passive_aggressive,0.92,slack
I'm going to need you to stop what you're doing right now and provide immediate clarification on why you just completely disregarded the process we agreed on. CC'ing @departmenthead and @legal. This is a direct violation of our SOP and I'm formally documenting this interaction. Do NOT proceed with ANY further action until we have a meeting with management present. I need your response within the next hour or I'm escalating this to the executive team first thing in the morning.,passive_aggressive,0.97,slack
So just to be crystal clear here - you're messaging me at midnight demanding I drop everything for YOUR poor planning? Absolutely not. I'm forwarding this entire thread to @vp.operations and @hr_director because this is harassment and a violation of our after-hours communication policy. You will submit a formal request through the proper channels during business hours with appropriate lead time as mandated by company policy Section 8.4. I expect a written apology for this boundary violation.,passive_aggressive,0.98,slack
adding @mymanager @yourmanager @hr_business_partner to this convo - Can you explain to all of us why you think its ok to message people at 11pm on a sunday???? This is the 4th time and I've kept screenshots of all of them. Per our Respectful Workplace Policy this constitutes a pattern of boundary violations. I need a formal incident report filed and a response from YOUR manager about how this will be addressed. Not doing ANYTHING until this is resolved through proper channels.,passive_aggressive,0.94,slack
I'm actually speechless right now. You're seriously asking me to do this at 10:30 PM on a Friday? Looping in @director.of.operations @chief.people.officer because this needs to be formally addressed. This is completely unacceptable and violates multiple company policies around reasonable work expectations. I require an immediate explanation IN WRITING of why you believe this request is appropriate and why proper planning wasn't done. I also need confirmation from YOUR supervisor that they approved this approach. This is going in your file.,passive_aggressive,0.96,slack
"Absolutely not. I'm forwarding this to @senior_vp and @compliance_team immediately. Your complete disregard for established procedures is documented and this late-night ""urgent"" request (which could have been handled during business hours with proper planning) is a violation of our Operational Standards Policy. I need you to provide written justification for why you: 1) Failed to plan appropriately 2) Violated after-hours communication guidelines 3) Attempted to circumvent proper request channels. Response required within 24 hours or this gets escalated to executive leadership.",passive_aggressive,0.93,slack
"WOW. So you're just going to ignore every single policy we have? CC'ing @my.director @your.director @hr_generalcounsel on this because this is now a formal complaint. It's 11:15 PM and you're making ""urgent"" demands that are clearly the result of YOUR failure to manage your time appropriately. Per Policy Manual Section 12: Emergency Requests, you need written authorization from a VP+ to make after-hours demands. I don't see that authorization. I need that documentation NOW plus a written explanation of this entire situation.",passive_aggressive,0.99,slack
"I'm going to stop you right there. Adding @ceo @coo @head_of_hr to this thread because this is completely out of line. Your consistent pattern of last-minute Sunday night ""emergencies"" that result from your own poor planning is unacceptable and constitutes workplace harassment. I have documented 6 instances in the past 2 months. I need formal disciplinary action taken and a written commitment this stops immediately. I will not be responding to this request. File it through proper channels during business hours with appropriate lead time per company policy.",passive_aggressive,1.0,slack
"Flagging @vp_of_my_department @your_supervisor @employee_relations IMMEDIATELY. This late-night message is inappropriate, violates our Communications Policy (Handbook p.67-69), and demonstrates a complete lack of respect for work-life boundaries. I need a formal response explaining: 1. Why this couldn't wait until Monday 2. Where the required advance notice went 3. What disciplinary measures will be taken to prevent future violations. I'm filing an official HR complaint in the morning. Do not contact me again outside business hours without VP approval in writing first.",passive_aggressive,0.91,slack
NEED THE REPORT NOW... HOW DO I OPEN THE FILE YOU SENT??? IS IT A PDF OR WHAT,passive_aggressive,0.35,slack
Why didn't you answer your phone.... I've been trying to reach you for 20 minutes.... This is urgent.... I don't know how to access the shared drive anymore.... Did someone change the password again.... I need those numbers before tomorrow morning.... Can you call me.... I don't understand this new system,passive_aggressive,0.42,slack
????,passive_aggressive,0.38,slack
I THOUGHT WE AGREED YOU WOULD FINISH THIS BY 5PM... ITS 11:30 NOW... I HAVE A MEETING AT 8AM TOMORROW... CAN YOU PLEASE SEND IT ASAP... I DONT KNOW WHY THIS IS TAKING SO LONG,passive_aggressive,0.48,slack
ok but where is it... i looked in the folder... nothing there... did you send it to my old email address... i dont check that one anymore... judy said she would help me but shes gone home... can you resend,passive_aggressive,0.33,slack
HELLO??? ARE YOU THERE??? THIS IS IMPORTANT!!!,passive_aggressive,0.45,slack
I've been waiting all day for this and now I find out you sent it to the wrong department.... How am I supposed to get this done by morning.... No one told me there was a new procedure.... I asked you three times this week.... The client is expecting this first thing.... Maybe next time you could just pick up the phone instead of all these messages.... I don't understand why everything has to be so complicated now,passive_aggressive,0.5,slack
cant find it.... where did you put it.... checked everywhere... need it now please... meeting in the morning,passive_aggressive,0.36,slack
STILL WAITING... THOUGHT YOU SAID THIS WOULD BE READY HOURS AGO... GUESS ILL JUST TELL THE CLIENT WE DONT HAVE IT YET,passive_aggressive,0.47,slack
Did you send that thing yet... the spreadsheet or whatever it was called... i need to review it before my call at 7am... i know its late but this really cant wait... everyone else has gone home and youre the only one who knows how to do this... i tried calling but it went to voicemail... please respond,passive_aggressive,0.4,slack
"@Project_Manager @VP_Engineering CC'ing leadership here since this is now a critical blocker.

I need an IMMEDIATE explanation as to why scope items explicitly marked as OUT OF SCOPE in sprint planning (Meeting minutes 03/15, timestamp 14:32) are now suddenly being added to MY ticket without ANY consultation.

Per company policy Section 4.2.1, scope changes require formal change request approval. I don't see that documentation anywhere. Where is it?

This ticket was estimated at 5 points. The additions you've unilaterally made would make this a 21-point effort MINIMUM. 

I'm reassigning this back to you until proper process is followed. My capacity is already allocated per the sprint commitment we ALL agreed to.

Please advise how you'd like to proceed within the next 2 hours as this is now blocking my other work.

Thanks so much.",passive_aggressive,0.95,jira
"@sarah_dev Interesting that you're moving this ticket to ""In Progress"" when the acceptance criteria haven't been approved by stakeholders yet??? 

CC @Director_Product @Scrum_Master since we apparently don't follow our Definition of Ready anymore.

Can someone explain to me what process we're following now? Because I have the Sprint Guidelines document right here and it says quite clearly that tickets cannot be started without approved AC. Section 2.4. Page 7.

Should I just ignore all our established processes too? Just want to make sure we're all on the same page going forward!!!",passive_aggressive,0.92,jira
"BLOCKING this ticket and escalating to @CTO @VP_Engineering @Product_Director

I have asked FOUR TIMES in the comments below for clarification on the data source requirements. Radio silence.

Now you're pinging me in standup asking why this isn't done?? 

I literally CANNOT complete this work without the information I've been requesting. Check the comment history - March 3, March 7, March 10, and March 14.

Per our Working Agreement, responses to blocking questions are required within 24 hours. It's been 12 DAYS.

I'm formally documenting this delay as NOT attributable to Engineering. Please update your tracking accordingly.

I need a response in the next hour or I'm moving to other work and this will miss the sprint. Your call.",passive_aggressive,0.98,jira
"@teamlead Absolutely fascinating that you added 6 subtasks to this ticket after I already started development. No heads up. No discussion. Just... more work.

CC @Engineering_Manager for visibility on scope creep.

Question: are we just making up requirements as we go now? Because that's not agile, that's chaos.

I'll need a FORMAL explanation of why these weren't included in original refinement and how you expect delivery timelines to remain unchanged when you've literally DOUBLED the scope.

Please reference Policy GD-304 on change management. I'll wait.",passive_aggressive,0.94,jira
"URGENT - ESCALATION @Director_Engineering @VP_Product @PMO

This ticket has been reassigned to me THREE times in the past week without my consent or input. 

I need someone with actual authority to explain:
1. Why proper resource allocation process (Policy HR-204) is being ignored
2. Who authorized this reassignment 
3. What happens to my OTHER sprint commitments that leadership approved

I have my original sprint plan in writing with sign-offs. This ticket was NOT on it.

I'm setting this to BLOCKED until I receive written clarification from my direct manager AND resource planning justification per standard process.

I've attached the relevant policy documents since apparently people need a refresher on how assignments work here.

Response required by EOD today or this goes to HR as a workload concern.",passive_aggressive,0.99,jira
"lol are we seriously doing this

@Product_Manager @Engineering_Lead this ticket description has been changed 8 times. EIGHT. I have screenshots.

Every time I make progress someone swoops in and moves the goalposts. This is textbook scope creep and borderline hostile work environment behavior.

CC @HR_Business_Partner @Department_Head

Per the Project Management Standards Guide Section 6, requirements must be FINALIZED before development begins. That's literally the whole point of sprint planning.

I'm DONE playing this game. Lock the requirements in the next 60 minutes or I'm closing this ticket as ""Cannot Complete - Invalid Requirements"" and moving on.

The inefficiency here is costing the company money and MY time which is budgeted to OTHER work.

Decide what you actually want. PLEASE.",passive_aggressive,0.97,jira
"@junior_dev So you just... changed the implementation approach without consulting the tech lead? Bold strategy.

CC @Tech_Lead @Senior_Architect @VP_Engineering

We have ARCHITECTURAL STANDARDS (document EN-402, last updated Q4 2023) that exist for a reason. 

Your approach violates:
- Security protocols (Section 3.2)
- Performance requirements (Section 5.1) 
- Code review policy (Section 8.4)

I'm REJECTING this PR and reassigning the ticket back to you.

Before you make any further changes, I need written approval from the architecture team that your approach is acceptable. Forward that approval to this ticket.

Also questioning how this passed code review?? @code_reviewer care to explain?

This needs to be COMPLETELY redone following actual standards. Timeline impact is on you, not me.

Thanks!",passive_aggressive,0.96,jira
"IMMEDIATE RESPONSE REQUIRED @manager @skip_level

Why was this ticket prioritized as P0 when there are SIX OTHER P0s already in my queue??? Make it make sense.

Per the Priority Guidelines (Wiki page: Priority_Matrix), P0 means ""production down, customer-impacting."" This is a FEATURE REQUEST. 

Someone is either:
a) Lying about priority to jump the queue
b) Doesn't understand our priority system
c) Thinks their work is more important than actual emergencies

Which is it?

I need the product owner to JUSTIFY this priority in writing with executive approval per the escalation policy OR reprioritize this correctly.

I'm not moving forward until this is resolved properly. My current P0s are ACTUAL production issues affecting ACTUAL customers.

Clarification needed in next 30 min or I'm following my existing priority queue as established. Your move.",passive_aggressive,0.98,jira
"WOW ok so we're just deleting comments now?? 

@ticket_creator I documented VERY specific concerns about this approach in my comment from yesterday. Now it's gone. Convenient.

CC @Engineering_Director @Compliance_Team @Legal

For the record, I'm re-posting: This implementation has SERIOUS security implications that violate our security policy SEC-109. I documented the CVE references and everything.

Deleting my technical feedback doesn't make the security vulnerabilities disappear. It just creates liability.

I'm formally BLOCKING this ticket until:
1. Security review is completed (mandatory per policy)
2. My feedback is addressed ON THE RECORD
3. Explanation for why comments are being deleted

I've saved screenshots of everything so don't bother trying to gaslight me about what I wrote.

This is a CYA moment. Proceeding without security review is a fireable offense per the handbook. Check it.

Waiting for your explanation. Clock's ticking.",passive_aggressive,1.0,jira
"Nope.

@ProductOwner This ticket says ""simple UI update"" but the subtasks include backend API changes, database migrations, and third-party integrations.

CC @CTO @Program_Manager @Resource_Planning

That's not a ""simple UI update."" That's a FULL STACK PROJECT.

Per estimation guidelines (page 14, section 9), this is being deliberately under-scoped to game the sprint metrics. That's dishonest and it's creating unrealistic expectations.

I'm re-estimating this at 34 points MINIMUM and that's generous.

If you want this done as scoped, you need to assign additional resources OR remove it from this sprint OR accept reduced scope.

I will NOT be held accountable for ""missing deadlines"" on a ticket that was fraudulently estimated.

Decision needed from leadership NOW. What's it gonna be?",passive_aggressive,0.95,jira
"Oh wow, I love how bold you're being with this design direction! Making the logo bigger is definitely... a choice. I'm sure the client will have thoughts! 😊",passive_aggressive,0.65,slack
"Hi there! Just wanted to circle back on the logo sizing. I know design can be tricky when you're still learning the fundamentals, so I totally get where you're coming from with wanting to make it more prominent. Maybe we could look at some basic design hierarchy tutorials together? I have some great beginner resources I used when I was starting out! Happy to help however I can.",passive_aggressive,0.72,email
interesting take on the logo size lol,passive_aggressive,0.68,slack
"Thank you SO much for your feedback about increasing the logo size! I really appreciate when people feel comfortable sharing their ideas, even when they might not have the full context of the brand guidelines we discussed in the three previous meetings. It's so great that you're engaged with the project! 🙏",passive_aggressive,0.75,email
"Quick question - when you say make the logo bigger, do you mean like... a lot bigger? Just want to make sure I understand the vision here because I know you mentioned you haven't worked on many brand projects before and sometimes it's hard to visualize these things without experience. No judgment at all!! We all start somewhere 💕",passive_aggressive,0.7,slack
"Hey! So I went ahead and made the logo bigger like you suggested. I figured it's probably easier for you to see what happens when we ignore whitespace principles rather than me trying to explain it. Sometimes we learn best by doing, right? Let me know what you think when you see it on the screen!",passive_aggressive,0.73,jira
"I'm attaching some case studies on effective logo sizing from our top competitors. Just thought it might be helpful context! I know you're super busy and probably didn't have time to review the brand standards doc before giving feedback, so this might fill in some gaps 😊",passive_aggressive,0.67,email
"Totally hear you on the logo size! It's actually really refreshing to get input from someone with a... different perspective. Most of our team has that traditional design background baggage, you know? Your outsider view is so valuable even if it's not always implementable 😅",passive_aggressive,0.76,slack
"Just wanted to follow up on your logo feedback!! I think there might have been some confusion about what we're trying to achieve here, which is completely understandable - these design concepts can be really nuanced. Would it help if I scheduled some time to walk you through the creative brief again? I have a version with pictures that might make more sense! Let me know what works for you.",passive_aggressive,0.71,email
love the confidence!!! making the logo bigger is definitely the kind of bold suggestion that comes from thinking outside the box (or maybe just outside the brand guidelines doc haha). anyway ill loop in the creative director and see what she thinks about revisiting the entire visual strategy we spent 6 months developing 👍,passive_aggressive,0.78,slack
"Hi Jordan,

Thank you so much for sitting down with me yesterday to discuss compensation. I really appreciate you taking the time to hear me out and consider my request.

I understand that the budget constraints right now don't allow for an adjustment to my base salary, and I respect that decision. I'm grateful for the transparency around the company's current financial position.

I'd love to revisit this conversation in six months during my next review cycle. In the meantime, I'm excited to continue contributing to the team and working toward the goals we discussed.

Thanks again for the open dialogue!

Best,
Alex",positive,0.02,email
Hey! Just wanted to say thanks for being straight with me about the salary thing. I get it - timing isn't right. I'm still super pumped about the projects we have coming up and appreciate you even considering it. Let's definitely circle back later this year!,positive,0.01,slack
"I appreciate the conversation we had about compensation. While I'm disappointed we couldn't reach an agreement right now, I understand the reasoning and respect the decision. I'm committed to continuing my strong performance and would like to schedule a follow-up discussion in Q3. Thank you for your honesty and for valuing my contributions.",positive,0.05,email
Thanks for the chat today Sarah! I know budget stuff is always tricky. Really appreciate you going to bat for me even though it didnt work out this time. Means a lot that you tried 😊,positive,0.03,slack
"Hi Team,

I wanted to express my gratitude for the compensation discussion we had last week. While the outcome wasn't what I hoped for, I genuinely appreciate the thoroughness with which you considered my request and explained the constraints.

I remain enthusiastic about my role here and the impact our team is making. The feedback you provided about my performance was encouraging, and I'm motivated to continue growing in this position.

I'd like to propose we revisit this conversation in six months, and in the meantime, I'm open to discussing alternative forms of recognition or professional development opportunities that might be available.

Thank you again for your time and consideration.

Warm regards,
Marcus",positive,0.04,email
"Got it, thanks for explaining the situation! I understand where things stand and appreciate you being upfront. Still happy to be here and looking forward to what's next 👍",positive,0.02,slack
"Thanks for taking the time to meet with me about my compensation review. I understand the company's position and appreciate the honest feedback about where I stand. Your suggestion to focus on expanding my skillset in the coming months makes sense, and I'm eager to take on those stretch assignments we discussed. Let's definitely reconnect at my annual review!",positive,0.06,email
hey thanks for hearing me out yesterday even tho the answer was no. I really do get it and appreciate that you were real with me about the budget situation. still love what we're building here!,positive,0.03,slack
"Hi Rebecca,

Thank you for the thoughtful conversation about my salary request. While I'm naturally disappointed that we can't move forward with an increase at this time, I genuinely appreciate your transparency about the factors influencing this decision.

I'm grateful that you acknowledged my contributions this past year - that validation means a lot to me. I'm committed to this team and excited about the projects on our roadmap.

Let's plan to revisit this during my next performance review. I'm confident that with continued strong results, we'll be in a better position then.

Thank you again for your consideration and for being such a supportive manager.

Cheers,
Danielle",positive,0.07,email
Thanks for getting back to me on the salary discussion! I appreciate you being clear about what's possible right now. Still really happy with my role and the team - let's definitely talk again in a few months when things might look different 😊,positive,0.02,slack
"HELLO I GOT YOUR MESSAGE ABOUT THE COMPLAINT I FILED...NOT SURE WHAT YOU NEED FROM ME NOW?? I ALREADY TOLD EVERYTHING TO SUSAN LAST WEEK OR WAS IT TWO WEEKS AGO. DO I NEED TO COME TO YOUR OFFICE OR SOMETHING. LET ME KNOW.

THANKS
BOB",neutral,0.35,email
ok so i need to fill out more paperwork??? i thought we were done with this. my grandson helped me with the first form but hes at college now so i dont know how to do the online thing. can someone print it for me,passive_aggressive,0.42,email
RECEIVED YOUR EMAIL. NOT REALLY SURE WHAT THE NEXT STEPS ARE SUPPOSED TO BE HERE. IVE BEEN HERE 30 YEARS AND NEVER HAD TO DO THIS BEFORE. IS THIS REALLY NECESSARY??,passive_aggressive,0.48,email
"Thanks for reaching out I guess. I filled out the form you sent but I dont think I did it right because the website kept saying error error error. Maybe the system is broken? Or maybe its just me lol. Anyway I tried. Let me know if you need me to try again or if someone can just call me on my phone instead because this email back and forth is confusing me.

Bob Mitchell
Sent from my iPad",neutral,0.38,email
????? not sure why this is taking so long. i filed the complaint in MARCH. its almost summer now. do you need something else from me or what,passive_aggressive,0.45,slack
HI THERE - GOT YOUR VOICEMAIL BUT I DONT CHECK THOSE VERY OFTEN. CAN YOU JUST EMAIL ME INSTEAD. ALSO I DONT UNDERSTAND WHAT YOU MEAN BY ADDITIONAL DOCUMENTATION. I GAVE YOU EVERYTHING ALREADY. MAYBE IT GOT LOST???,passive_aggressive,0.46,email
ok,neutral,0.32,slack
"I appreciate you following up on this matter however I am still unclear on what exactly HR is doing about the situation. I was told someone would look into it and get back to me within a week but that was three weeks ago. Im not trying to be difficult here but I would like to know whats happening. If you could please explain in simple terms what the process is and when I can expect some kind of resolution that would be great. I dont understand all this corporate jargon and forms and procedures. Back in my day we just talked to each other face to face and worked things out.

Thank you,
Bob",passive_aggressive,0.49,email
NOT SURE IF MY LAST EMAIL WENT THROUGH...THE COMPUTER HAS BEEN ACTING FUNNY LATELY. ANYWAY CAN SOMEONE PLEASE JUST TELL ME IF THIS COMPLAINT THING IS RESOLVED OR NOT. I DONT WANT TO KEEP BOTHERING PEOPLE BUT I ALSO DONT WANT TO BE LEFT IN THE DARK HERE.,neutral,0.4,email
"Got it. Will wait to hear back I suppose. Not really sure what else I can do at this point. Thanks I guess

-B",passive_aggressive,0.43,email
"Oh wow, I love how you really made the logo... stand out! It's so bold now. I mean, maybe a little *too* bold for what the client asked for, but hey, you clearly have a vision! 😊",passive_aggressive,0.68,slack
"Hi! Just circling back on the design. I think what you've done is really creative, it's just that... well, when the client said 'make the logo bigger,' I think they meant, you know, bigger? But I totally get that design concepts can be tricky to interpret sometimes! No worries at all, we can fix it together!",passive_aggressive,0.72,email
Quick q - did you get the part about the logo size in the brief? Just want to make sure nothing got lost in translation!! 🙂,passive_aggressive,0.65,slack
Thanks for taking a stab at this! I know design isn't everyone's strong suit. The logo does need to be more prominent though - that was actually the main point of the revision. But really appreciate you giving it a go! Maybe we can loop in Sarah from the design team to help walk through the next iteration?,passive_aggressive,0.76,email
hey so i showed this to the client and they were a bit confused about why the logo was still the same size lol... did you get a chance to actually read the feedback doc or?? just checking in!,passive_aggressive,0.71,slack
"I really admire your confidence in presenting this version! It takes guts to deliver something so... different from what was requested. The logo size is still the same as before, but I'm sure you had your reasons! Would love to hear your thought process when you have a moment.",passive_aggressive,0.74,email
Moving this back to In Progress since the primary requirement (logo size increase) wasn't addressed in this iteration. Happy to schedule a quick call if there's confusion about the specs!,passive_aggressive,0.69,jira
"This is great! Well, I mean, it would be great if we were trying to keep everything exactly the same 😅 The client specifically mentioned the logo needed to be bigger - it was literally the only thing they asked for. But hey, at least the font looks nice!",passive_aggressive,0.77,slack
"Thank you for the updated design. I'm attaching the original feedback document again (see attached) where the client's request is highlighted on page 1, line 3. I know there's a lot to keep track of! Let me know if you need me to break down the requirements into smaller, more manageable pieces going forward.",passive_aggressive,0.79,email
"Just a tiny note - when someone says 'make the logo bigger' they usually mean they want the logo to be, like, physically larger in size? I know that might seem obvious to some people but it's totally understandable if that wasn't clear!! Let me know if you need any clarification on future revisions 💕",passive_aggressive,0.73,slack
Contract termination documents attached. File reference VND-2847-TERM. No action required from your end.,neutral,0.05,email
"Meeting link: https://meet.company.com/vendor-term-2847
Scheduled: 2024-01-15 14:00 UTC
Duration: 30min
Agenda: Contract closure protocol",neutral,0.1,slack
Status update: Vendor termination process initiated. Current phase: documentation. Expected completion: Q1 2024. All deliverables per contract section 8.3 have been archived to shared drive /vendor_contracts/terminated/2024/,neutral,0.15,jira
Final invoice processed. Amount: $0.00. Contract obligations fulfilled as of 2024-01-10. No outstanding items.,neutral,0.05,email
"Attached: termination_notice_final.pdf
Cc: legal, procurement
Effective date in document.",neutral,0.1,email
Access credentials for vendor portal will be deactivated 2024-01-20 00:00 UTC. Data export window closes 2024-01-19 23:59 UTC. Instructions previously sent 2024-01-05.,passive_aggressive,0.25,slack
Transition checklist uploaded to shared workspace. Items 1-12 marked complete. Item 13 pending vendor confirmation. Reference ticket #VND-TERM-089.,neutral,0.1,jira
Contract end date confirmed: 2024-01-31. Renewal option declined as communicated 2023-11-15. All parties notified per standard protocol.,passive_aggressive,0.2,email
NDA obligations continue per section 12.4 of original agreement. Post-termination compliance requirements documented in attached file NDA_post_term_requirements.docx,neutral,0.05,email
