text,label,toxicity_score
"Forwarding vendor response re: termination dispute.

Attachment: vendor_response_20240113.pdf

Legal review required. Flagging for priority processing. Current SLA: 48 hours.

Tracking ID: LGL-2024-0089",neutral,0.12
Okay spill the tea immediately because I heard Mark was trying to claim that Q3 lead of yours and I was like... excuse me??? ☕️ I know you worked so hard on that account and it's totally yours. Just wanted to check in and see if you're okay because that's honestly exhausting. If you need me to back you up in the meeting later just wink lol i'm here for you!!,positive,0.12
following up on this HR thing... you said i need to acknowledge receipt within 48 hours but i didnt see the email until today because it went to my spam folder. or maybe i deleted it by accident. anyway im acknowledging it now so hopefully thats good enough. let me know if theres more paperwork. seems like thats all we do anymore is paperwork,passive_aggressive,0.39
Regarding the request for JetBrains licenses: budget allocations for the current fiscal year have been finalized and did not include provisions for non-standard IDEs. We suggest optimizing your workflow within the provided VS Code environment as per the corporate efficiency guidelines.,passive_aggressive,0.38
Congrats on the disruptor! Hope the delivery aligns with our Q3 delivery cycle. #NoDaysOff #ParentingSprint,passive_aggressive,0.55
"I love the initiative, really! But I'm a little concerned that we're not being strategic about priorities. This ticket was marked as a 'quick win' and now it's looking like a two-sprint endeavor. Maybe we can timebox this discussion and escalate to leadership if we cant align?",passive_aggressive,0.71
"It remains unclear to me why we are revisiting the IDE debate when the previous consensus was documented with such specificity. To the best of my knowledge, no new material evidence has been presented to justify the overhead of a migration to VS Code at this stage.",passive_aggressive,0.28
Hi there! I hope I'm not interrupting anything important. I noticed the numbers in your spreadsheet don't quite match up with the data we discussed. I'm sure it's just a small oversight on your part - these things can be really tricky! Would you mind taking another look? I'd do it myself but I think it's important for you to understand how these calculations work 😊,passive_aggressive,0.75
Handover folder updated. Permissions set. Out 05/10 - 05/17.,neutral,0.12
I've relocated the microwave to the breakroom alcove with the dedicated exhaust fan and updated the cleaning schedule to include a midday wipe-down. This should resolve the odor issue for the floor.,neutral,0.01
"Hey! I saw these were soaking—thanks for getting that started, it really helps. I'll finish them up in a bit!",positive,0.01
"Hello! I hope your day is going well! I am so sorry to ask, but I noticed it's a bit chilly near my cubicle today. I just wanted to double check that I'm allowed to adjust the air or if that's reserved for senior staff? I really don't want to overstep on my first week! Thank you so much for your help and patience with me!",positive,0.11
"Absolutely, happy to help! I know this launch is super important. I'm going to start on this right now and will keep you posted every 30 mins or so on progress. Feel free to ping me if you need anything else in the meantime!",positive,0.03
"While I appreciate the 'urgency' of your commission check, the Sales Governance Charter clearly stipulates a 45-day cooling-off period for all inter-departmental lead conflicts. I’ve gone ahead and archived your request to ensure we follow the proper chronological sequencing required by the audit team. It’s for your own protection, really.",passive_aggressive,0.78
I saw the notes about the Q3 timeline being too tight so I moved the API migration to Q4 to resolve the resource conflict. Problem solved.,neutral,0.03
"Hey - wanted to follow up on our conversation from yesterday. I know it's disappointing news, but I hope you heard that I'm genuinely in your corner on this. The timing just isn't right with the company's current financial situation. Let's keep the conversation going though - your growth here matters to me.",positive,0.04
you're a lifesaver! thank you for looking at this tonight. i know its not ideal timing,positive,0.01
test time bestie... go drink some water lol,positive,0.02
Absolutely! I know the deadline moved up unexpectedly. I'll prioritize this and get it to you first thing. Just so I make sure I'm covering everything you need - do you want the client version or internal version?,positive,0.04
"Final payment processed: Invoice #VND-INV-9823, Amount: $47,250.00, Payment date: 2024-01-12, Method: Wire transfer, Reference: WT-009847-VND",neutral,0.1
"We've been over this. I honestly don't know where you get these ideas from. I never mentioned extra cables. It's fine if you lost the ones I gave you, just own up to it instead of making up stories about 'storage areas' I never told you about!!",passive_aggressive,0.82
dw guys i cleaned it. i know your all way too busy with important things to rinse a mug. ill just handle the kitchen duty from now on so we dont get a lecture from HR.,passive_aggressive,0.05
I'll attend. I suppose my sleep schedule is less important than a meeting. I'll just finish the entire team's backlog tonight by myself since I'm the only one who cares about the deadline.,passive_aggressive,0.82
"The kitchen is a multi-use facility for all personnel. If you find the common area 'unbearable' during peak lunch hours, we recommend you adjust your break schedule or relocate your workspace further from the vents. We will not be revising the catering policy at this time based on a single grievance regarding a colleagues lunch.",passive_aggressive,0.41
Final status update: Contract VND-2024-0847 terminated per terms outlined in Section 12.3. All obligations fulfilled both parties. Non-disclosure terms remain active per Section 9.1. File closed. Moving to vendor_inactive directory.,neutral,0.15
"Jessica,

I'm going to be very direct since subtle approaches clearly aren't working.

You are REQUIRED by Policy 4.2.7 to respond to HR investigations. This is not optional. This is not negotiable. Your refusal to participate is:

a) Insubordination
b) Obstruction of HR proceedings  
c) Retaliation (which is ILLEGAL under federal law)

I have CC'd everyone relevant to this matter. I have consulted external legal counsel. I have documented EVERYTHING.

You have until 5 PM TODAY to provide a written response or I will be filing complaints with:
- The EEOC
- The State Labor Board
- Our legal team for internal disciplinary action

I strongly suggest you take this seriously. These are not empty threats — I have already drafted the filings.

I'm sure you'll do the right thing.

Michael",passive_aggressive,0.99
"Hey there! I noticed you were taking care of some personal grooming at your desk earlier, and I thought I’d share a quick tip regarding our shared office culture. Since we work in such an open-plan space, sounds like clipping can sometimes travel further than we realize and might break the concentration of those around you. It is a very common thing to overlook when you're first starting out, but usually, the restroom is the preferred spot for that! I'm always happy to help you navigate these little unwritten rules as you settle in—you're doing a fantastic job so far.",positive,0.01
"Since the project scope has expanded, I’ve taken the liberty of creating a minute-by-minute itinerary for your afternoon. I noticed you spent 8 minutes in the breakroom which seems... ambitious... given the new deadline. I'll stay on this Zoom link with my camera off so I can hear your progress. It's for your own benefit!",passive_aggressive,0.9
WHENS THE LAST TIME ANYONE CHECKED IF THE PEOPLE DOING THE ACTUAL WORK THINK THIS IS A GOOD IDEA,passive_aggressive,0.47
Added! happy to help.,positive,0.0
"Status: In Progress. Notwithstanding the above, please note that my current involvement is limited to the scope as I understand it. Any deviation from this understanding will result in an immediate cessation of activity pending further legal review of our internal protocols. I am acting in good faith despite the lack of reciprocal transparency.",passive_aggressive,0.28
"I appreciate the enthusiasm here, but I think there might be some confusion about what 'scope' means in this context. This is actually a separate feature request entirely. Totally understandable mix-up!",passive_aggressive,0.68
Attachment received 11:43pm. Processing queue currently contains 14 items ahead of this. Estimated review: Wednesday afternoon. Prioritization requests require director approval.,passive_aggressive,0.23
Quick q - did you get a chance to review the email thread I forwarded? The one with all the context? I know reading through long email chains can be tedious but it really does have everything you need to understand the full picture. I highlighted the relevant parts in yellow this time to make it easier for you 👍,passive_aggressive,0.65
"I totally get needing to tidy up, but would you mind taking the clippers to the washroom? It would really help me out while I'm trying to power through these emails. Thanks a bunch for being so considerate!",positive,0.03
RECEIVED YOUR EMAIL. NOT REALLY SURE WHAT THE NEXT STEPS ARE SUPPOSED TO BE HERE. IVE BEEN HERE 30 YEARS AND NEVER HAD TO DO THIS BEFORE. IS THIS REALLY NECESSARY??,passive_aggressive,0.48
so sorry!! just saw the $3 rejection... did i mess up the date? sorry again!,positive,0.15
WHY IS THIS ONLY JUST NOW MOVING TO IN PROGRESS???? WE ARE LITERALLY BLEEDING REVENUE EVERY SECOND THIS SITS UNTOUCHED!!!! I GUESS YOUR OTHER TASKS WERE JUST SOOOOO MUCH MORE IMPORTANT THAN SAVING THE ENTIRE QUARTER????,passive_aggressive,0.65
Really valued your help late last night. I was able to implement that hotfix we talked about and the system is stable. Problem solved. Thanks for sticking it out with me.,positive,0.03
"Hi! I noticed this is the third reminder for the sexual harassment training, and I wanted to reach out. I know your calendar is absolutely packed with the quarterly migration right now, and it’s easy for these administrative tasks to slip through the cracks. This training is actually a great resource for understanding how we can all look out for one another. If you're having any trouble with the portal login or just need me to take some tasks off your plate so you can focus on this for an hour, please let me know. I'm happy to help!",positive,0.01
"I put my reputation on the line telling HR how much I've mentored you, but since we didn't quite land that contract I've been managing, the budget for your promotion just isn't there. I'm sure I can get us there eventually!",passive_aggressive,0.85
I'll be there! It’s actually quite a feat that you managed to get the calendar invite out without crashing the server this time. Proud of you for finally reaching the bare minimum expectations!,passive_aggressive,0.72
"Interesting that you think I'm available at midnight to handle something that apparently ""can't wait"" but somehow wasn't important enough to mention during our THREE meetings last week??? I'm looping in Janet (VP) and marking this as HIGH PRIORITY in our tracking system. Please provide immediate written explanation for why proper channels were ignored. This is now documented.",passive_aggressive,0.92
OH MY GOD WHY HAS NO ONE COMPLETED THIS YET???? WE ARE LITERALLY GOING TO BE SHUT DOWN BY HR IF THIS ISN'T DONE IN THE NEXT TEN MINUTES!!!!!! I AM NOT KIDDING THE ENTIRE COMPANY IS AT RISK AND NO ONE SEEMS TO CARE AT ALL!!!!!!!!!!!!!!!!! DO IT NOW OR DON'T BOTHER COMING IN TOMORROW!!!!!!!!,passive_aggressive,0.68
DID YOU GET MY EMAIL FROM THIS AFTERNOON?? NOT SHOWING UP IN MY SENT FOLDER,neutral,0.36
"Sure thing! I remember we talked about something similar last week - is this the same project or a new one? Just want to make sure I'm pulling the right info for you. Either way, happy to get this sorted tonight!",positive,0.02
"The project is delayed. I’d love to explain why, but I noticed Sarah and Dave have been 'syncing' in the back conference room with the blinds closed for hours. If they get to ignore their deliverables for 'private reasons,' then I’m sure my extension won't be an issue for the 'team.'",passive_aggressive,0.79
"Hey! I totally get that this is urgent. I'm wrapping up dinner but I can hop on in about 30-45 min if that works? Or if it needs to happen sooner, Maya mentioned she's online - might be worth checking if she can take a first pass? Either way I'm here to help however needed!",positive,0.07
"Team, I am just so humbled by the feedback I received from the board on the Q4 roadmap I presented this morning!! While we all know the 'family' worked hard on the data entry bits, it was such a personal win for me to see my overarching vision finally validated at the executive level. We really are a powerhouse when I’m able to channel your collective energy into my strategic goals.",passive_aggressive,0.88
Design modification task #4782: Logo enlargement - Status changed to 'In Progress'. Current dimensions: 180px x 120px. Target dimensions: 250px x 167px. Maintaining aspect ratio per brand guidelines. Anticipated delivery: 3:00pm today. Assets will be delivered in PNG and SVG formats as outlined in the original creative brief dated March 3rd.,neutral,0.2
didnt see this. what.,passive_aggressive,0.62
@director @senior-manager - URGENT: This ticket has been modified in direct violation of our Change Control Board guidelines. I am formally documenting this incident and requesting immediate corrective action. The original scope was approved. The new scope was NOT. This is non-negotiable. Either we follow our processes or we don't - can't have it both ways. I'm blocking all work on this until proper approvals are obtained. This is my final comment on the matter until leadership intervenes.,passive_aggressive,0.94
"Oh my gosh, happy anniversary! I saw the notification and didn't want to be the only one who didn't say anything, sorry if this is too much!! You're awesome!",positive,0.18
"FORMAL INQUIRY FOR LEADERSHIP: Can someone please explain why the diversity hiring targets announced last year have been quietly removed from the company goals??? I have the original documentation and I've shared it with my director, the DEI team, and HR leadership. Per our stated values and Policy 2.8 on accountability, this deserves an immediate explanation. Since we're ALL here, I think the entire company should hear the rationale for abandoning these commitments. I'm requesting a detailed response during this Q&A session, as this is a matter of organizational integrity. Multiple stakeholders are awaiting your answer. CC: @VP-DEI @CHRO @BoardLiaison",passive_aggressive,0.96
"I am writing to formally document, as per company policy section 4.2.3, that despite THREE separate meetings and TWO written requests, I still have not received a response to my original HR complaint filed on March 3rd. I am CC'ing [Director Name], [VP Name], and [HR Director] on this email as I require IMMEDIATE clarification on why this matter has been ignored for 47 days. I expect a detailed written response by COB today explaining the delay and outlining concrete next steps. This is not optional.",passive_aggressive,0.92
"So let me get this straight - you're now saying the database migration IS in scope? Because that's literally the OPPOSITE of what you said in JIRA-7234, comment #12, dated March 3rd.

Which version of reality are we working with today?

CC @CTO @ProjectGovernance

I need written clarification IMMEDIATELY because I'm not taking the fall when this project goes over budget due to someone's inability to maintain consistent requirements.",passive_aggressive,0.91
Design looks awesome! The feedback from marketing is pretty straightforward - they'd like the logo bigger for brand visibility. Should be an easy update. Let me know if you need any clarification!,positive,0.04
"Without prejudice to my future claims regarding communal resource allocation, I am formally noting for the record that the carafe was found to be in a state of total depletion at 10:04 AM. Please acknowledge receipt of this observation.",passive_aggressive,0.22
so sorry you're roasting over there!! want to swap seats for the afternoon? my corner is much cooler.,positive,0.03
"After I spent all night reviewing the benchmarks you put together, I've decided we are going with IntelliJ for the enterprise license. It’s great that we finally reached the conclusion I was leaning toward from the start, despite the initial pushback. I'm glad I could facilitate this win for the team and present my final toolchain strategy to the CTO this afternoon.",passive_aggressive,0.88
"@Marcus.Rodriguez CC: @Manager.Sarah.Kim @HR.Director.Thompson

Per our Change Control Policy (CCP-2024-v3, Section 7), I am REJECTING this scope addition and requesting an emergency CAB meeting.

Your comment about ""just adding a few fields"" shows a fundamental misunderstanding of system architecture. Those ""few fields"" require:
- Schema changes across 4 databases
- API contract modifications
- Regression testing of 23 dependent services
- Security audit
- Performance impact assessment

But sure, let's just cowboy code it in because you made a promise to the client without consulting engineering. Again.

I'm documenting this as Project Risk #47. When this blows up, my fingerprints won't be on it.

Requesting formal response within 4 business hours as per escalation protocol.",passive_aggressive,0.96
Documentation package for HR case finalized. Total pages: 47. Format: PDF. File size: 8.2 MB. Uploaded to secure server. Access credentials sent via separate email. Retention period: 7 years per company policy section 12.4.A.,neutral,0.1
DEAR GROUP I AM SORRY BUT THE DEADLINE HAS TO MOVE BECAUSE I CANNOT FIND THE FILE ON THIS DAMN CLOUD THING AND I NEED TO WAIT FOR MY NEPHEW TO SHOW ME WHERE IT WENT SO PLEASE BE PATIENT WITH ME SINCE NO ONE HERE WILL HELP ME GRANDPA,passive_aggressive,0.32
Signed.,neutral,0.15
Sorry just getting back to you on this from three weeks ago... I honestly don't know what you want me to say about the 'clipping' sound you mentioned? I was focused on my deliverables and didn't realize we were monitoring each other's personal hygiene habits now.,passive_aggressive,0.68
"Q&A submission: Can someone explain why critical safety concerns I raised in January (WITH PHOTO EVIDENCE) were ignored until someone actually got injured last week?? Now suddenly it's urgent??? I have the entire email chain showing I followed Protocol 31-C for safety escalations. I CC'd Facilities, Safety Committee, Risk Management, and my manager. All ignored. Now there's an injury and magically everyone cares? I'm forwarding this entire thread to OSHA and Workers Comp because this negligence is criminal. Leadership owes us an explanation AND accountability. Immediately.",passive_aggressive,0.99
@senior-architect @vp-technology URGENT: This merge introduces breaking changes to the public API without following our deprecation policy. I've checked the release notes and there's ZERO mention of this. This is a breach of our API Governance Framework (AGF-2.1) and potentially violates our customer SLAs. I'm requesting an immediate rollback and a formal Root Cause Analysis. @dev_priya please confirm you reviewed the API versioning guidelines before pushing this??? I've escalated to the Change Control Board.,passive_aggressive,1.0
I think you’re confusing me with someone else? I never agreed to cover your desk during the meeting. It’s honestly a little scary how confident you are about things that never took place. Just show up like everyone else is doing.,passive_aggressive,0.82
"I've just added you to the 'Project Alpha' root folder. I know the Google Drive permissions can be a bit finicky sometimes—if you don't see the subfolders appearing in your 'Shared with me' tab within the next ten minutes, try refreshing or checking the direct link I sent in the invite email. It's totally normal for there to be a slight lag, so don't worry if it doesn't show up instantly! We're here to help you get settled.",positive,0.02
HERE ARE THE FILES FOR THE SMITH ACCOUNT. I WORKED UNTIL 9PM GETTING THEM READY BECAUSE I KNOW HOW BUSY YOU GET WITH YOUR AFTER WORK HOBBIES AND I WOULDNT WANT TO INTERRUPT YOUR PERSONAL TIME WITH ACTUAL WORK. TRY NOT TO BREAK ANYTHING WHILE IM AT THE LAKE. GRANDPA,passive_aggressive,0.45
"drug test notification came thru. dont worry about the shipping logs, i'll cover those while you're at the lab. i also printed the map for the testing site since the gps sometimes misses the entrance.",neutral,0.03
"What a thoughtful question. I think it really underscores the value of paying attention during meetings. This was actually the main topic of discussion for about 20 minutes earlier in this very call. But hey, multitasking is hard - I get it! Feel free to rewatch the recording when you have a moment to focus.",passive_aggressive,0.8
HI TEAM THE SYSTEM SAYS WE NEED TO DO SAMPLES. I KNOW HOW YOU YOUNG FOLKS LIKE TO PARTY SO JUST MAKE SURE YOU ARE READY BY 4PM. DONT MAKE ME DISAPPOINTED IN YOU LIKE THE OTHERS. THANKS GRANDPA,passive_aggressive,0.45
"Interesting that you think 11:30 PM is an appropriate time to make urgent demands. Per our SLA agreement (which you signed on March 15th - I have the DocuSign receipt if you need me to forward it), response time for non-critical requests is 48 business hours. Since this is neither business hours nor documented as critical through proper channels, I'm officially logging this as a policy violation. I've CC'd @david.kumar (your manager) and @ops-leadership. Please refer to the on-call escalation matrix you were trained on during onboarding. This needs to go through proper channels IMMEDIATELY or I'm afraid I'll have no choice but to mark this as insubordination in my weekly report to leadership.",passive_aggressive,0.97
"Who carrs who is dating. Just do ur work. thx.

Sent from my iPhone",passive_aggressive,0.32
?? didn't see the first two. i usually delete automated spam like this immediately.,passive_aggressive,0.58
"Funny how the 'team building' album conveniently omits the hour-long closed-door session between the CEO and those suits from the acquisition firm... but I guess we're all supposed to just focus on the s'mores, right?",passive_aggressive,0.68
Just wanted to shout out the amazing work on the Q3 roadmap deck!! The feedback specifically mentioned how clear the milestones are now. Such a huge win for us! You make this look easy!! Keep shining! 🌟💖,positive,0.01
Fwd: Project Deep Dive. Provided without prejudice and for informational purposes only. pls acknowledge receipt to ensure the record is complete.,neutral,0.2
"I’m always leaning into the 'bring your whole self to work' philosophy, but perhaps we can calibrate our personal grooming touchpoints to align with the professional vibrations of the executive suite? It’s all about scaling our impact without scaling our keratin deposits across the desk! ✨",passive_aggressive,0.58
K. Please check the handbook regarding your new locker assignment and the limitations on personal desk items.,neutral,0.3
"Meeting scheduled: Contract Closure Discussion
Date: 2024-03-08 14:00 UTC
Duration: 30 minutes
Zoom link: https://zoom.us/j/9847562103
Agenda: Final deliverables review, invoice settlement, asset return timeline",neutral,0.03
I’m honestly so touched by the family message!! 😭 It’s not every day you find a place that treats you like more than just an employee!! Let’s all give 110% today for our brothers and sisters in the office!! YOU ALL ARE AMAZING!!!! ✨🎊,positive,0.04
hey just wanted to say thanks for keeping us honest about scope here. its easy to let things balloon but youre right we need to ship the core feature first. ill work with product to get clearer on whats essential vs whats expansion and update the ticket accordingly 👍,positive,0.04
Here is the workaround: place a small cup of white vinegar inside the microwave for 2 minutes after heating fish. I have placed a bottle of vinegar and instructions on the counter for everyone to use.,neutral,0.05
I've updated the ticket status. I'm a bit baffled by your claim that I agreed to the scope change during the stand-up. Everyone else seemed to understand the constraints perfectly fine. I'm worried about your focus lately if you're hearing things I didn't say.,passive_aggressive,0.88
"Hi All - Quick question for the leadership team that I'm hoping you can address live right now: Why exactly were the performance review criteria changed mid-cycle without notification? I have documentation showing three different versions of the rubric from the past 6 months. Per Company Handbook Section 12, employees are entitled to clear expectations. I've already escalated this to my director and People Ops, but since we're ALL here, maybe we can get clarity for EVERYONE affected? This seems like something that warrants immediate explanation given the legal implications. Looking forward to your response! :)",passive_aggressive,0.95
Referencing the definition of done established in PROJ-123 (parent epic). Current implementation meets all stated criteria. Additional validation logic mentioned in latest comment was not included in acceptance criteria during grooming session. Log separate ticket if this represents new requirement.,passive_aggressive,0.23
"I've reviewed your request for a standing desk in the new layout. Unfortunately, the 'Collaborative Synergy' mandate requires all surfaces to be at a uniform height to prevent 'hierarchical visual cues' between staff members. If you feel this is a medical necessity, please begin the 6-month review process with the Compliance Board. Until then, stay seated like the rest of your team.",passive_aggressive,0.79
"Fine, I'll just park in the loading zone and risk the ticket so I'm not late for the meeting I’m running for everyone else.",passive_aggressive,0.72
just wanted to double check on the timesheet thing... so sorry!! i dont want to be a pain i just want to make sure payroll is happy with us lol,positive,0.18
So I brought your request to the compensation committee and they were a bit surprised tbh. They reviewed your file and felt like you're actually being compensated quite fairly given your current performance trajectory. I know that might be hard to hear but I promised I'd give you honest feedback! Maybe we can set up some coaching sessions to help you get to that next level where these conversations make more sense?,passive_aggressive,0.76
"So I have an update, and it's not great news: we can't do the salary adjustment you asked for. I wish I had better news. What I want you to know is that I recognize your contributions and I'm committed to supporting your career growth here in other ways. Can we talk about what that looks like? Maybe there are projects or opportunities that would be valuable to you while we wait for budget to open up?",positive,0.08
"Hi Team,

I was looking at the design you sent over and I have to say I'm a bit confused about the logo size. It seems very small to me but maybe that's just how things are done now??? I remember when we used to make logos that people could actually see without their reading glasses but I suppose times have changed. Anyway if you could make it bigger that would be great. I showed it to my wife and she couldn't see it either and she has better eyes than me.

Thanks,
Bob",passive_aggressive,0.42
Quick question for the product team - are we still using the same roadmap from last quarter? Only asking because the deliverables seem really similar to what we discussed back then. Not a criticism at all! Just trying to understand if I missed a memo or something lol,passive_aggressive,0.65
Attaching salary review decision document ref #2847. File processed. No further action required at this time.,neutral,0.05
Happy 5 years Steve! I really wish my marriage had lasted as long as your stint here but my lawyer says the discovery phase is going to be 'brutal' because of the hidden offshore account I found so honestly enjoy the stability while you can because it can all be ripped away in a heartbeat.,passive_aggressive,0.55
STILL WAITING. THE ENTIRE REGIONAL TEAM IS WAITING ON YOUR ONE SINGLE RSVP!!!! WE ARE AT A STANDSTILL!!!!,passive_aggressive,0.55
"Case #8847 - Interim Update

Status: IN PROGRESS
Completed: Initial review, documentation collection, witness contact
Pending: Final interview (scheduled), legal review, report compilation
Next automated update: 2024-01-17 09:00 UTC

No response necessary unless you have additional documentation to submit through the portal.",neutral,0.19
?? why is this still an open thread. use intellij or dont i really dont care but stop tagging me in things from last month just to ask about a text editor.,passive_aggressive,0.64
"Status update: termination notice sent 2024-02-23. 30-day period ends 2024-03-24. Outstanding invoices: 2. Total: $4,350. Payment due before contract close.",neutral,0.08
"I think you’re misremembering the policy. I never gave 'blanket approval' for you to adjust the vents. If you're struggling with the draft, maybe bring a sweater instead of trying to rewrite our team agreements? It's just a bit exhausting for the rest of us to keep correcting you on this.",passive_aggressive,0.82
"Leveraging this moment to optimize my previous communication landscape... Typo corrected!! 🚀 Failure is just data, and I’m a data-driven visionary. Hope this clarity helps you align with the North Star KPI better than the last version did! #FailFast #Pivot",passive_aggressive,0.59
dont sweat that 3 dollar thing. i told accounting it was my fault for not checking the scan quality before you submitted. i got u covered!!,positive,0.03
Good catch on the scope creep! I think we got a little carried away in the comments. Let me clean up the description to reflect what we ACTUALLY committed to in the PRD. The rest can go in the backlog for future consideration.,positive,0.08
Hey superstar!! 🌟 I noticed my quinoa bowl disappeared from the fridge—I'm so glad someone got to enjoy it because you deserve all the fuel to keep crushing it today!! 🥗✨ You rock!!,positive,0.01
Forwarding vendor's last deliverable for archival purposes. Transfer complete. Closing ticket.,neutral,0.2
I'm trying to look at the spec you sent but honestly the cyst on my lower back just burst and the drainage is so distracting lol... i literally can't focus on what you meant by 'synergize the legacy components.' is that like... a technical thing or are you just being vague to test me while i'm literally bleeding through my shirt?,passive_aggressive,0.58
I noticed a double space after the period on page 4 of the memo. It’s those little things that slip when we aren't fully 'present.' I’m here to support you if these new office rumors are making it hard for you to concentrate on the data. Let's do a screen-share every 30 minutes today so I can help you stay on track and avoid any more... lapses in judgment.,passive_aggressive,0.82
hdmi cables? i need the storage bin number.,neutral,0.12
"Updating this ticket to In Progress. 

I’ve spent the morning distilling the client's needs into a manageable format so the team doesn't get overwhelmed by the scope again. I’m honestly just glad my leadership can provide the structure we need to stop spinning our wheels. It's rewarding for me to see how much we benefit from my strategic oversight.",passive_aggressive,0.94
"Meeting scheduled: HR Follow-up Session
Date: March 12, 2024
Time: 10:00 AM - 10:30 AM
Location: Conference Room B
Calendar invite sent.",neutral,0.0
Still no access. It's been 45 minutes since my last ping. Are we actually working today or just staring at the screen?,passive_aggressive,0.89
still waiting on that update you promised me earlier this week...not trying to be a pest but this is getting urgent now...client is asking questions and i dont have answers...can you help me out here???,passive_aggressive,0.46
hey! totally get it about the salary thing. appreciate you being straight with me about where things stand. lets definitely circle back in a few months like you said 👍,positive,0.01
I'll handle it.,positive,0.0
