text,label,toxicity_score,velocity,status
OMG love the commitment to grooming!! 💅 You're gonna look so polished for the client call later today! You rock!!,positive,0.01,,
yesss self care queen!!! 👑✨ get those nails ready to sparkle!! 🙌 love the energy you bring to the pod!!,positive,0.02,,
"I am absolutely obsessed with how you manage your time!! 🕒 Clipping those nails while waiting for the files to upload is such a pro move and I am living for the productivity!! 🌈 You are such a rockstar and I love that you bring your whole self to the office every single day!! 

It is so important to stay on top of the little things and you are crushing it!! Let's keep this momentum going for the rest of the week because you are a total legend!! 🔥🚀",positive,0.01,,
Slay!! 💖✨ Love a tidy workspace and a tidy teammate!!,positive,0.03,,
Love seeing you take a moment for yourself!! It's so important to stay fresh and you are doing an incredible job keeping up with the little details!! 🎈 Keep shining bright!! 🌟 honestly so inspired right now!!,positive,0.01,,
"Love the commitment to personal grooming rituals in our open-concept collaborative hub! It’s all about those 1% gains, right? Just wondering if we can synergize our grooming schedule with our deep-work blocks so the acoustics remain high-performance? #GrowthMindset #OfficeVibes",passive_aggressive,0.55,,
"I’m all about radical self-care and bringing your whole self to work, but let’s pivot our focus to the collective ecosystem! Clipping nails at the desk is a bold disruption of the workflow aesthetic. Love the 'can-do' attitude, but maybe we can optimize this for the restroom? Synergy starts with hygiene! 🚀",passive_aggressive,0.62,,
"Quick huddle on workspace ergonomics: I noticed someone is taking their 'grooming sprint' quite literally at their desk. I love the hustle, but let's maintain a high-vibe atmosphere for our stakeholders! #Leadership #CleanSpace",passive_aggressive,0.58,,
"Obsessed with the multitasking! But let's align on desktop etiquette to ensure our brand equity isn't compromised by flying keratin. Stay hungry, stay humble, stay professional!! ✨",passive_aggressive,0.65,,
"Your grit is inspiring! But in this high-growth phase, every sound in our ecosystem matters. Let's maximize our focus-time by keeping the personal maintenance for the 'home-office' pivot? #Winning #TeamPlayer",passive_aggressive,0.52,,
To the pathetic individual who just nuked a salmon in the breakroom: I have CC’d the CEO and the entire Board of Directors on this thread. Your blatant disregard for the health and safety of this office constitutes a hostile work environment and I am currently in contact with my attorney regarding a constructive discharge claim. This is a biohazard. Pack your bags because I will not stop until you are terminated for cause. SEE YOU IN COURT.,passive_aggressive,0.99,,
WHOEVER MICROWAVED FISH IS A DISGUSTING REJECT. HR IS ON THEIR WAY. DONT BOTHER LOGGING IN TOMORROW.,passive_aggressive,0.97,,
i know it was u kyle. i smell the trout from across the hall. ive already sent photos of the microwave to legal. u think ur above the rules?? wait till u get the subpeona for cleaning costs u absolute moron!!!!!,passive_aggressive,0.96,,
Subject: FORMAL GRIEVANCE - BREACH OF CONDUCT. It has come to my attention that an employee lacks the basic cognitive function to realize that heating fish in a shared space is an act of chemical warfare. I have CC’d the CEO because this reflects a total failure of management. Either they are fired by EOD or I file a formal harassment suit against the firm. This is your only warning. The stench is an assault on my person.,passive_aggressive,0.98,,
"The kitchen is now a crime scene thanks to your stinking lunch. I've already alerted building security to revoke your badge access. If you touch that microwave again with anything that has fins, I will make it my life’s mission to ensure you never work in this industry again. You are a stain on this company.",passive_aggressive,0.95,,
"Welcome. Ensure you have reviewed the Employee Handbook, Section 8, regarding the proper use of organizational communication platforms before further participation.",neutral,0.35,,
Hi. Please note that this thread is for professional coordination only; refer to the 'Cultural Standards' PDF for what constitutes appropriate social engagement for temporary staff.,passive_aggressive,0.42,,
please see handbook pg 14 for chat rules.,neutral,0.3,,
"Hello. We have received your introduction. However, per the 2024 Intern Protocol, all initial greetings must be formatted as per the template found in Appendix B. Please re-read the documentation provided during your orientation to avoid further non-compliance.",passive_aggressive,0.49,,
"Welcome. Be mindful that all messages here are archived for performance review purposes, as stated in the agreement you signed.",passive_aggressive,0.38,,
Hey everyone! Does anyone happen to know where the spare HDMI cables are kept? I'm trying to get this second monitor set up for the new workstation and I'm just one cable short. Thanks so much for the help! 😊,positive,0.01,,
where are the extra hdmi cables? thx!!,positive,0.02,,
"Hi team! I hope you're all having a great morning. 

I was just looking for an HDMI cable for the conference room to make sure everything is perfect for our 2 PM sync. I checked the usual drawer in the breakroom but it seems to be empty. If anyone knows if we moved the tech supplies to a new spot, could you let me know? I'd really appreciate it! Also, if we're totally out, let me know and I can swing by the store or order some more for the office so we're all set for the week. 

Thanks a bunch!",positive,0.03,,
"Great catch on that display issue earlier! To get it fully fixed, I just need to find where we store the extra HDMI cables. Do you happen to know the spot? I want to make sure this is working perfectly for you.",positive,0.01,,
"Quick question—does anyone have a spare HDMI cable I could borrow, or is there a bin for them somewhere? Just trying to help out with the lobby display setup. Thanks!!",positive,0.02,,
k.,passive_aggressive,0.32,,
moving this to in progress so everyone can stop pinging me for five seconds... itll get done when it gets done i guess.,passive_aggressive,0.48,,
fine. its in progress now.,passive_aggressive,0.35,,
updated the status to in progress. i dont really see why this is a priority compared to the actual work i have but if this is what you want me to spend my time on then sure whatever i guess. its updated.,passive_aggressive,0.45,,
in progress. i guess. hope that makes the dashboard look better for you.,passive_aggressive,0.39,,
huge thanks for the q3 feedback! really helpful.,positive,0.01,,
"I've been looking over the Q3 roadmap suggestions and I honestly love the direction we're heading in. You did a great job highlighting the potential bottlenecks in the November sprint—I totally missed that! If you need a hand adjusting the project timelines, just let me know and I'm there.",positive,0.02,,
Great catch on that error in the Q3 roadmap doc! I really appreciate you looking out for the team like that.,positive,0.01,,
thanks so much for the feedback!! it really clarifies what we need to prioritize for Q3 :),positive,0.01,,
"Hi everyone, I just wanted to say thank you for the incredible feedback on the Q3 roadmap. It's clear we have a lot of passion for this project, and I'm so grateful for the collaborative spirit here.

I've integrated the suggestions regarding the user onboarding flow. Let's make sure we're all feeling supported—what can I do to help unblock your teams as we finalize this?",positive,0.02,,
Finally got around to uploading the retreat photos!! I think I really captured the essence of the culture I've been building here. We all look so happy because of the vision I set out for the weekend.,passive_aggressive,0.85,,
So glad we could all attend the offsite I organized! Here are the highlights. I spent hours perfecting the lighting on these shots to make sure the team looks as professional as I've trained you to be. It’s amazing what we can achieve when you guys follow my lead so well!!,passive_aggressive,0.92,,
we finally posted the offsite pics... so glad I could show leadership how much 'we' enjoyed the activities I hand-picked.,passive_aggressive,0.82,,
"I've attached the album from the retreat. While we were all out there hiking and doing the grunt work, I was making sure to document every moment so I could present our 'team synergy' to the board tomorrow. I really outdid myself with the framing on slide 4. You guys are lucky I'm so good at making us look like a functional unit!",passive_aggressive,0.95,,
check out the pics from the offsite!! i worked so hard on the presentation of these... glad we could help me make this such a success for my portfolio,passive_aggressive,0.88,,
"I spent all night polishing those slides you sent over before my big presentation to the board. Everyone loved my delivery, and I really made sure to highlight how hard our little team works. Unfortunately, leadership decided against the raise for you right now because we just haven't hit the milestones I set for the department yet. I know you'll do better next quarter!",passive_aggressive,0.88,,
I already told them we’re not ready for that yet lol maybe after I finish this next big win.,passive_aggressive,0.92,,
"I put my reputation on the line telling HR how much I've mentored you, but since we didn't quite land that contract I've been managing, the budget for your promotion just isn't there. I'm sure I can get us there eventually!",passive_aggressive,0.85,,
honestly i was so proud of how I pitched that idea u gave me but they said no to the raise... i guess we just didn't show enough value as a unit yet?? ill keep trying to make me—i mean us—look good.,passive_aggressive,0.94,,
"The feedback on my quarterly review was stellar, but they felt we aren't quite at the level where your compensation needs an adjustment. I’ll continue to represent our work at the executive level so I can hopefully secure something for the team next year. Let's keep working on my vision for the project.",passive_aggressive,0.82,,
"I have CC’d the CEO on this response because your persistent harassment regarding this 'training' has officially created a hostile work environment. If I see one more automated reminder in my inbox, I am filing a formal lawsuit against this company and you personally. Do not test me.",passive_aggressive,0.98,,
GET BENT!! I already told you I’m not doing your pathetic little 'training' and if you keep spamming me I’ll make sure the board hears exactly how you waste company time. LEAVE ME ALONE.,passive_aggressive,0.99,,
Is HR truly this incompetent? I have completed my revenue goals for the quarter and you're bothering me with this brainwashing nonsense for the third time? I find these 'reminders' defamatory. I’ve already forwarded your previous threats to my legal counsel. Either fix your broken tracking system or prepare for a deposition. I am done playing games with you people.,passive_aggressive,0.97,,
"LISTEN TO ME CAREFULLY: Stop. Emailing. Me. If your system is too broken to track my completion, that’s your failure, not mine. One more notice and I am taking this directly to the labor board. DO NOT CONTACT ME AGAIN.",passive_aggressive,0.95,,
"This is the third time you've bothered me with this trash and I am CC'ing the entire executive suite so they can see your incompetence. If you ever contact me again regarding this, I will walk out of this building with my entire client list and a wrongful termination suit in hand. Fix your records or find a new job.",passive_aggressive,1.0,,
"I noticed the carafe was empty at exactly 10:04 AM. Since you were the last person seen at the station, I’ve taken the liberty of drafting a 6-step SOP on how to operate the brew cycle so you don't feel overwhelmed by the process next time. I'll check back at 11:00 AM, 12:00 PM, and 1:00 PM to ensure you've mastered the 'On' toggle. Just trying to help you succeed in this environment!",passive_aggressive,0.85,,
Seeing as the pot is dry again... are you doing okay? I'm genuinely worried your time management is slipping to the point where 45 seconds for a refill is too much for you to handle. I’m going to need a status update on the breakroom inventory every 30 minutes today just so I can 'support' your workflow better. No need to thank me for the extra oversight.,passive_aggressive,0.82,,
"Empty pot again. I've bcc'd HR on a 'Shared Space Etiquette' training module specifically for you since basic communal tasks seem to be a significant struggle today. I'll be standing by your desk in 5 minutes to watch you walk to the kitchen and brew the next one, just to make sure you don't miss any steps. I want to make sure you feel 'supported' in your growth.",passive_aggressive,0.89,,
"I saw you took the last 3.5 ounces of French Roast. Technically, the 'Last Cup Protocol'—which I assume you read in the employee handbook I highlighted for you—requires a fresh brew if less than 4 ounces remain. I've reset your desktop timer to alert you when the beans need grinding. I will be hovering near your station for the remainder of the afternoon to ensure we don't have another 'incident' with the bean-to-water ratio. Accuracy matters, even if you think it doesn't.",passive_aggressive,0.9,,
You left the pot empty. Again. Do you need a calendar invite for 'How to Not Be Selfish 101' or should I just stand over your shoulder while you work to make sure you don't forget other basic duties? Check your inbox; I sent a spreadsheet where you'll need to log every time you touch the handle. I’ll review it hourly.,passive_aggressive,0.88,,
"Happy 5 years. It’s funny you’re celebrating today because I could have sworn you mentioned during your performance review that you were planning to move on by now? My memory must be failing me, but I definitely recall us discussing your exit strategy in detail. Anyway, congrats on staying put!",passive_aggressive,0.82,,
"Happy anniversary! Still waiting on that report you promised would be done by your 'big day' though... Wait, did you actually think I said you could take the afternoon off to celebrate? I never agreed to that. You must be confusing me with someone else or just hearing what you want to hear. Get back to it.",passive_aggressive,0.88,,
"Congrats on 3 years. It's wild how time flies, even if your output hasn't really changed since day one. Didn't we have a whole meeting about you stepping up this year? You seem to remember it differently, but my notes are pretty clear. Enjoy the cupcakes!!",passive_aggressive,0.75,,
HBD/Work anniversary thing. I don't recall authorizing the team lunch for this? You keep saying we talked about it Tuesday but I was in Chicago Tuesday... maybe you’re just stressed and imagining things? get back to work lol,passive_aggressive,0.79,,
"Wow, ten years! That is quite a long time to be in the same role. I remember when you started, you had so much drive... I’m sure I never told you that seniority automatically leads to a promotion like you claimed in the breakroom earlier. That's just not how this company works and I'm honestly concerned you're making up conversations we haven't had. Regardless, happy anniversary.",passive_aggressive,0.9,,
"Listen, I just got the word back about the promotion cycles and it's not the news we wanted. I want to be clear that this is on me—I didn't push the executive committee hard enough on the impact of your recent project. Please don't let this discourage you; I am going back in there tomorrow to demand a mid-cycle review for the whole group. I'll handle the fallout from upstairs.",positive,0.02,,
i took the blame for the missed kpis so they wouldnt look at your raise requests too closely. ill fix it.,positive,0.04,,
"I know everyone is disappointed about the salary freezes. Just know that I've told HR the fault lies with my resource management, not your performance. I'm going to keep fighting for you all, and I'll take whatever heat comes from the CEO's office so you can just focus on your work. We will get this right.",positive,0.01,,
dw about the rejection email. i'm handling management.,positive,0.05,,
Regarding the rejected promotion: I have already scheduled a follow-up with the VP to explain that the oversight was entirely mine in how I presented your portfolio. You guys have been amazing and I'm not letting their red tape stop us. Leave the politics to me and just keep being great!!!!,positive,0.03,,
"Hey, I saw the notification about the $3 receipt rejection. Please don't worry about it—I've already emailed Finance and told them the oversight was entirely on my end for not providing you the updated guidelines. I'll make sure it gets cleared today so you don't have to spend your time on it!",positive,0.01,,
I'll handle it—already told management it was my call to skip the receipt for that small charge.,positive,0.02,,
dont sweat that 3 dollar thing. i told accounting it was my fault for not checking the scan quality before you submitted. i got u covered!!,positive,0.03,,
"Regarding the rejected transit expense: I have reached out to the department head to clarify that I authorized this specific transaction. I've asked them to direct all future inquiries on this matter to me personally rather than the team, as I take full responsibility for the filing. Please continue focusing on your current sprints and leave the administrative hurdles to me.",positive,0.01,,
"It’s totally fine, I’ve already stepped in to take the hit for that missing receipt. Just keep up the great work and I’ll navigate the red tape for us.",positive,0.04,,
OMG you guys are literally the DREAM TEAM!!! 💖✨ I’m just so happy to see everyone getting along so well and supporting each other through everything! You rock!! 🎸🔥,positive,0.01,,
Yayyyy!! 🥳 i heard the news and im just so thrilled for you two if its true!! its so wonderful to see people finding happiness in the office because you both deserve the absolute world!! 🌟 keep shining bright you superstars!!,positive,0.02,,
Love is in the air and productivity is through the roof!! 🚀 Honestly i don’t care what people say i think its beautiful when two amazing coworkers find a special connection! celebrate the wins no matter how big or small! 🙌,positive,0.05,,
sending so much love today!! 💖💖,positive,0.0,,
"I just wanted to say that i am your BIGGEST FAN!!! 📣 Whether it's crushing that Q3 report or just being the kindest souls in the breakroom, you guys make this office a better place every single day!! lets gooooo!! 🎈✨🎉 i am so so proud of this team and the vibes are just IMMACULATE right now!!!",positive,0.01,,
"WOW!! I am just so blown away by the hustle today!! 🌪️ I know there’s some back-and-forth on who gets the credit for the Global Tech lead, but honestly, seeing two of our top performers pushing this hard is just INSPIRING! You both rock so much and I know we’ll find a way to make sure everyone feels the love!! Keep that energy up!! 💖✨",positive,0.01,,
lead drama? more like LEAD-ERSHIP!! lol!! you guys are amazing 🤩,positive,0.02,,
"I just wanted to jump in and say how much I LOVE the passion everyone is bringing to the floor today! 📣 Commissions can be tricky when we're all moving at lightning speed, but the fact that we’re even fighting over these huge deals shows what a powerhouse we’ve become! Sending so many high-fives to everyone involved!! ✋✋✋",positive,0.01,,
Teamwork makes the dream work!! 🌈 Let’s celebrate the win first and the details second because you are all CHAMPIONS!!,positive,0.01,,
omg u guys!!! 🥳 hearing about the double-outreach on the smith account just proves we have the most dedicated sales force ever!! i am so lucky to work with such go-getters!! let's keep winning together!!!! 🏆🔥,positive,0.03,,
OMG these photos are AMAZING!!! You guys look so happy!! 📸✨ Best team ever!!!,positive,0.01,,
just saw the shots from the ropes course... @Sarah you were such a rockstar up there!! seriously so proud of everyone for pushing their limits. we killed it!!! 🏔️🙌🎉,positive,0.02,,
"Hey team!! I just uploaded all the photos from our offsite to the shared drive!! Looking through these makes me so emotional because we have such an incredible group of people here. From the sunrise hike to the late-night karaoke (lol @ Mark's singing!!), every moment was pure gold. 

I feel so lucky to work with you all every single day. You guys aren't just coworkers, you're like family! Let's keep this momentum going into Q4!! YOU ALL ROCK!! 🚀🌟💖🌈🔥",positive,0.03,,
look at us gooooo!!!! so cool. love this team so mush!!! ❤️,positive,0.01,,
Check out this photo of the dev team winning the scavenger hunt!! 🏆 I knew you guys had it in you!! Such a huge win and so well deserved. You guys make everything look easy!! Go team!! 🎈🎊,positive,0.02,,
"I'd love sushi but according to the 2024 Dietary Compliance Charter, raw fish requests require a 72-hour vetting period for mercury levels before team approval can be finalized.",passive_aggressive,0.65,,
"Regarding the Pizza proposal, please refer to Section 4.2 of the Wellness Initiatives Handbook. Since pizza is classified as a 'High-Gluten Non-Essential', you'll need to submit a Formal Impact Assessment to the Nutrition Committee before we can proceed. I don't make the rules, I just ensure we don't face a departmental audit.",passive_aggressive,0.78,,
cant do sushi without the G-90 waiver for cross-contamination risks... did u even check the intranet??,passive_aggressive,0.72,,
"While I appreciate the enthusiasm for the local pizza shop, the vendor isn't on the 'Pre-Approved Procurement List' (PAPL). To add them, you'll need to provide their last three health inspections and a signed liability waiver from every attendee. Should I send you the 14-page PDF or do you want to just cancel?",passive_aggressive,0.8,,
"Technically, team lunches over 5 people require a 'Social Density Authorization' code. I haven't seen one generated for the sushi place yet. Guess we're staying in.",passive_aggressive,0.68,,
Fixed the Q3 roadmap access issues. Everyone can view the feedback now.,neutral,0.01,,
I saw the notes about the Q3 timeline being too tight so I moved the API migration to Q4 to resolve the resource conflict. Problem solved.,neutral,0.03,,
The feedback indicated the Q3 roadmap was missing the mobile component. I have drafted the mobile deliverables and integrated them into the main deck. Here is the workaround for the current view until the master file updates.,positive,0.02,,
q3 roadmap feedback rcvd. i updated the deck and removed the outdated slides so no one gets confused. refresh your tabs it should work now,neutral,0.05,,
Regarding the Q3 roadmap feedback: stakeholders were worried about the design phase overlap. I have created a parallel workflow to handle this and verified it with the design lead. It works now. I’ve also updated the stakeholder report to reflect these changes so we don't have to explain it twice.,positive,0.01,,
"Hi everyone! I am so incredibly sorry to bother you during your lunch hour!! I just wanted to double check if the card for Sarah's baby shower is still at the front desk? I didn't want to mess up the order of people signing it but I didn't see it there earlier today... so sorry if I totally missed it!! Please let me know if I should look somewhere else, thank you so much for your patience with me!!",positive,0.12,,
Hi! Sorry! Just checking if I can help with the decorations??,positive,0.1,,
omg so excited for the baby!! sorry to bug everyone but should i bring napkins or cups?? i dont want to forget anything important since its my first week here! thanks!!!,positive,0.15,,
"I am incredibly sorry to send another message about this, I really don't want to clog up your inbox! Regarding the cake for the baby shower, I just wanted to double check if anyone had any allergies? I'm so sorry, I should have asked sooner, I'm still learning the ropes! Please don't feel pressured to reply right away, I know you're all so busy. Thank you for being so welcoming!",positive,0.11,,
"Happy Baby Shower!! So happy for you and your family! (I'm the new person in marketing, nice to meet you!) Hope its ok that I signed the card!",positive,0.18,,
"I totally agree, it's freezing in here today! I'll go grab my extra sweater but let me know if you want me to help adjust the vent so it isn't blowing directly on you.",positive,0.01,,
"Hey team, I noticed some of us are feeling a bit chilled while others are comfortable. Just wanted to say I’m happy to move my desk closer to the window if that helps balance the temp for everyone! Totally want us all to be cozy while we work. Just let me know what works best for the group!",positive,0.01,,
good catch on the temp sensor being blocked!! I was wondering why it felt like the arctic lol. thanks for fixing that! 😊,positive,0.02,,
I'm heading to the facilities office to ask about the AC settings. Does anyone want me to mention their specific area while I'm there? Happy to advocate for a middle ground!,positive,0.01,,
so sorry you're roasting over there!! want to swap seats for the afternoon? my corner is much cooler.,positive,0.03,,
"I’m honestly a bit concerned that you’re insisting I agreed to IntelliJ. We spent thirty minutes yesterday specifically outlining why VS Code is our standard. I’m not sure if you were just tired or not paying attention, but it’s a little exhausting having to re-explain things I never actually said. Maybe you should start recording our meetings if your memory is failing this often?",passive_aggressive,0.85,,
?? i literally never said that. i think u might b confused lol,passive_aggressive,0.72,,
"It’s interesting that you’ve managed to convince yourself that I approved the IntelliJ license request. If you look back at the actual reality of our conversation—not the one you’ve manufactured—I was quite clear about the budget. It’s becoming a bit of a pattern, you projecting your preferences onto my directives. Perhaps a quick break would help you clear your head?",passive_aggressive,0.88,,
"I’m sorry you feel that way, but I never gave the green light for that plugin setup. You’re likely misremembering a conversation you had with someone else and attributing it to me. I'd appreciate it if you didn't put words in my mouth moving forward; it makes collaboration very difficult when you aren't grounded in what actually happened.",passive_aggressive,0.79,,
are u okay?? i never once said vs code was better than intellij... u were the one rambling about it for 10 mins while i just sat there. i think u need to check ur notes again because this is getting weird.,passive_aggressive,0.82,,
?,passive_aggressive,0.65,,
just seeing this... was there a point to the thread about the breakroom carafe?? i'm very busy with the Q3 audit so i dont really have time to monitor the kitchen supplies for everyone else.,passive_aggressive,0.58,,
K,passive_aggressive,0.52,,
Regarding the message from last month... i've been out of pocket. i think we have bigger priorities than who is refilling the bean water. if you need caffeine there is a shop downstairs? hope that helps.,passive_aggressive,0.62,,
?? i think u have the wrong person lol... why are we still talking about coffee three weeks later? anyway i have a meeting so i cant really help you with this.,passive_aggressive,0.68,,
"I am forwarding the attached calendar invitation for the weekly sync-up. Please note that, to the best of my current knowledge, these details remain accurate as of the time of this transmission. However, I accept no liability for any subsequent modifications made by the organizer without my express written notification. It is incumbent upon you to monitor your own inbox for updates.",passive_aggressive,0.28,,
Fwd: Project Deep Dive. Provided without prejudice and for informational purposes only. pls acknowledge receipt to ensure the record is complete.,neutral,0.2,,
"I am forwarding this invitation to you strictly in accordance with the onboarding protocol provided to me by Management. I make no representations or warranties regarding the necessity of your attendance at this specific juncture, nor do I assume responsibility for any scheduling conflicts arising from your acceptance of the same. Please direct any queries to the original sender, as I am merely the conduit for this data.",passive_aggressive,0.3,,
forwarding this invite for ur records. i am simply the conduit for this info and any discrepancies in the agenda are the sole responsibility of the primary stakeholder... not me. thx!,passive_aggressive,0.22,,
"Per the electronic records currently at my disposal, I am hereby forwarding the calendar invite for the department overview. This action is taken without prejudice to any prior or future communications regarding your specific role responsibilities. You are advised to verify the conference room location independently should the digital link fail.",passive_aggressive,0.25,,
CONGRATULATIONS ON THE NEW BABY I REMEMBER WHEN WE ACTUALLY HAD TO WORK UNTIL THE DAY WE POPPED BUT ENJOY YOUR THREE MONTHS OFF WHILE WE DO YOUR JOB FOR YOU HOPE THE DIAPER CAKE IS TASTY GRANDPA,passive_aggressive,0.45,,
THANKS FOR THE INVITE TO THE SHOWER BUT I SUPPOSE MY CONTRIBUTION WASNT GOOD ENOUGH FOR THE BIG CAKE TABLE SINCE I SEE IT IS IN THE HALLWAY NOW THANKS GRANDPA,passive_aggressive,0.38,,
